"","region","total","invalid","valid","Baburin","Grudinin","Zhirinovsky","Putin","Sobchak","Suraikin","Titov","Yavlinsky","turnout","turnout_perc","Baburin_perc","Grudinin_perc","Zhirinovsky_perc","Putin_perc","Sobchak_perc","Suraikin_perc","Titov_perc","Yavlinsky_perc"
"1","Алтайский край",1822203,14203,1177056,7581,281978,84785,770278,11788,7855,5532,7259,1191259,65.3746591351238,0.636385538325419,23.6705871687013,7.11725997453115,64.6608336222434,0.989541317211454,0.659386413869696,0.464382640550879,0.60935531232083
"2","Амурская область",635083,5383,389170,2358,73485,37909,264493,4428,2466,2080,1951,394553,62.1262102748775,0.597638340096261,18.6248742247556,9.60808814024985,67.0361142862936,1.12228268445557,0.625011088497616,0.527178858100179,0.494483630843005
"3","Архангельская область",914218,4880,536082,4448,51868,46925,407190,10588,3842,4982,6239,540962,59.1721011837439,0.822238900329413,9.5881041551902,8.67436160026028,75.2714608419815,1.95725392911147,0.710216244394246,0.920951933777234,1.15331575970216
"4","Астраханская область",736206,4340,440386,2185,64047,19339,342195,5060,2823,2233,2504,444726,60.4078206371586,0.491313752737641,14.4014516803605,4.34852021244542,76.9451302599803,1.13777921686612,0.634772871385977,0.502106915269177,0.563043312061809
"5","Белгородская область",1218896,8749,883685,5218,93102,49685,711392,8474,6534,4835,4445,892434,73.2165828749951,0.584693097752887,10.4323681078937,5.56735848253204,79.7136819081299,0.949538005051354,0.732154982889491,0.54177675884155,0.498076048200763
"6","Брянская область",978509,7177,772301,4472,68375,43940,636087,7463,4265,4175,3524,779478,79.6597680757152,0.573717282591683,8.77189606377602,5.63710585802293,81.6042274445206,0.957435617169439,0.547161048804456,0.535614860201314,0.452097429305253
"7","Владимирская область",1141236,9351,732050,5440,93649,58822,546042,10777,5075,6098,6147,741401,64.9647399836668,0.733745975524716,12.631356040793,7.93389811991082,73.6500220528432,1.45359933423343,0.684514857681605,0.822496867417228,0.829105976387947
"8","Волгоградская область",1761088,10850,1187810,8040,140708,69909,929541,14403,8116,6851,10242,1198660,68.0636061343897,0.67074900305341,11.738774965378,5.8322626933409,77.5483456526455,1.20159177748486,0.677089416515108,0.571554902974989,0.854454140456844
"9","Вологодская область",947066,6090,620273,5184,75644,54556,453576,13365,4567,5333,8048,626363,66.137206910606,0.827635093388339,12.0767031258232,8.70996530765706,72.4142390275288,2.13374672514181,0.729129913484673,0.851423216250002,1.28487793819239
"10","Воронежская область",1870895,9435,1198235,7830,136435,64905,952642,13024,8561,7277,7561,1207670,64.5503889849511,0.648355925045749,11.2973742827097,5.37439863538881,78.8826417812813,1.07844030240049,0.70888570553214,0.60256527031391,0.626081628259375
"11","Город Байконур (Республика Казахстан)",14575,104,9555,32,1026,628,7568,130,51,50,70,9659,66.2710120068611,0.331297235738689,10.6222176208717,6.50170825137178,78.3517962522,1.34589502018843,0.528004969458536,0.517651930841702,0.724712703178383
"12","город Москва",7547843,66266,4450471,43317,563670,211995,3201257,184206,32664,70323,143039,4516737,59.8414275442666,0.959033036459727,12.4795842662524,4.69354314851629,70.8754350762508,4.07829811653855,0.723176930602778,1.55694254502753,3.16686581485705
"13","город Санкт-Петербург",3632398,28951,2284507,20450,209112,94569,1735236,100059,15295,36254,73532,2313458,63.6895516405416,0.883958126752247,9.03893651840665,4.08777682585982,75.0061596104187,4.32508392199037,0.661131518272646,1.56709134118709,3.1784454267162
"14","город Севастополь",339010,2040,240016,576,8698,6988,218303,3083,569,896,903,242056,71.4008436329312,0.237961463463,3.5933833493076,2.88693525465182,90.1869815249364,1.27367220808408,0.23506957067786,0.370162276498,0.373054169283141
